created_at,entry_id,field2
2015-12-06 00:33:10 UTC,17232,73
2015-12-06 00:36:06 UTC,17238,73
2015-12-06 00:39:02 UTC,17244,75
2015-12-06 00:42:00 UTC,17250,73
2015-12-06 00:47:58 UTC,17262,73
2015-12-06 00:53:54 UTC,17273,74
2015-12-06 00:56:54 UTC,17279,75
2015-12-06 01:02:50 UTC,17290,75
2015-12-06 01:11:48 UTC,17307,73
2015-12-06 01:17:43 UTC,17318,73
2015-12-06 01:26:41 UTC,17335,73
2015-12-06 01:32:36 UTC,17346,73
2015-12-06 01:41:32 UTC,17363,73
2015-12-06 01:47:27 UTC,17374,73
2015-12-06 01:53:23 UTC,17385,73
2015-12-06 01:56:23 UTC,17391,73
2015-12-06 02:02:21 UTC,17402,73
2015-12-06 02:08:15 UTC,17413,73
2015-12-06 02:11:16 UTC,17419,73
2015-12-06 02:17:14 UTC,17430,73
2015-12-06 02:20:14 UTC,17436,73
2015-12-06 02:26:09 UTC,17448,74
2015-12-06 02:32:06 UTC,17459,73
2015-12-06 02:38:02 UTC,17470,73
2015-12-06 02:41:02 UTC,17476,74
2015-12-06 02:46:53 UTC,17487,73
2015-12-06 02:52:48 UTC,17498,73
2015-12-06 02:58:45 UTC,17509,74
2015-12-06 03:01:40 UTC,17515,74
2015-12-06 03:07:34 UTC,17527,73
2015-12-06 03:13:27 UTC,17538,73
2015-12-06 03:19:21 UTC,17549,74
2015-12-06 03:25:18 UTC,17560,75
2015-12-06 03:28:16 UTC,17566,73
2015-12-06 03:34:19 UTC,17578,74
2015-12-06 03:37:14 UTC,17584,72
2015-12-06 03:43:13 UTC,17596,73
2015-12-06 03:49:07 UTC,17607,74
2015-12-06 03:52:07 UTC,17613,73
2015-12-06 03:55:02 UTC,17619,74
2015-12-06 03:58:06 UTC,17625,75
2015-12-06 04:04:05 UTC,17636,74
2015-12-06 04:07:03 UTC,17642,74
2015-12-06 04:13:03 UTC,17654,74
2015-12-06 04:18:57 UTC,17665,74
2015-12-06 04:21:54 UTC,17671,74
2015-12-06 04:27:50 UTC,17683,74
2015-12-06 04:33:45 UTC,17694,74
2015-12-06 04:42:44 UTC,17711,74
2015-12-06 04:48:41 UTC,17722,72
2015-12-06 04:51:39 UTC,17728,72
2015-12-06 04:57:35 UTC,17740,72
2015-12-06 05:03:31 UTC,17751,73
2015-12-06 05:06:31 UTC,17757,73
2015-12-06 05:12:29 UTC,17769,72
2015-12-06 05:18:25 UTC,17780,75
2015-12-06 05:21:23 UTC,17786,73
2015-12-06 05:27:23 UTC,17798,73
2015-12-06 05:33:18 UTC,17809,73
